epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7965,5.66963,3.59371,4.01157,0.00013,0.00021,6e-05,3e-05,5.84283,3.37373,3.90886,0.000652778,0.000652778,0.000652778
2,56.1118,4.83569,2.77294,3.12309,0.0197,0.03251,0.01031,0.00274,4.39842,4.863,2.48394,0.00130638,0.00130638,0.00130638
3,123.654,4.14285,2.30562,2.22699,0.01347,0.02176,0.0071,0.0018,4.7893,6.01742,3.19476,0.00194679,0.00194679,0.00194679
4,145.996,4.01505,2.22667,1.97794,0.05137,0.06086,0.02377,0.00645,4.36288,2.16343,2.10252,0.0019406,0.0019406,0.0019406
5,169.276,3.87272,2.15105,1.77596,0.04888,0.07795,0.03414,0.00932,4.01934,2.27961,1.98364,0.0019208,0.0019208,0.0019208
6,191.611,3.75947,2.11,1.70531,0.09263,0.1145,0.06128,0.0181,3.6476,2.29067,1.68053,0.001901,0.001901,0.001901
7,214.279,3.5842,2.07356,1.6541,0.11007,0.0983,0.05554,0.01909,3.58118,2.29655,1.79086,0.0018812,0.0018812,0.0018812
8,274.956,3.48819,1.99702,1.59154,0.16047,0.14151,0.10064,0.03088,3.38322,1.94305,1.68885,0.0018614,0.0018614,0.0018614
9,298.138,3.32264,1.942,1.58313,0.21767,0.16202,0.12057,0.03872,3.15691,1.98524,1.55704,0.0018416,0.0018416,0.0018416
10,321.442,3.26774,1.88318,1.50813,0.17722,0.1536,0.1047,0.03333,3.17131,1.92373,1.52111,0.0018218,0.0018218,0.0018218
11,382.952,3.17398,1.83462,1.50125,0.23969,0.17022,0.16034,0.05079,3.08994,1.8469,1.48075,0.001802,0.001802,0.001802
